escenario,escenario_nombre,descripcion_escenario,seccion,segmento,Variable,variable_fuente,Incidencia,Efecto,Formula,Comentario,Fuente
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",industria-total,Industria total,VBP,VBP,0.33299999999999996,Positivo,CI* (T/CI)*(1+(tcp/tcc)),Exportaciones / VBP,"20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.2 | Cantidades fijas | Transable; Exportaciones CCNN, con factor de microdatos, respecto de VBP EAAE, promedio 2001/2024"
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",industria-total,Industria total,Consumo de capital fijo,Consumo de capital fijo,0.017,Negativo,CI* (T/CI)*(1+(tcp/tcc)),Efecto aumento consumo capital fijo maquinaria importada / consumo de capital fijo,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.2 | Cantidades fijas | Transable
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",industria-total,Industria total,Stock capital imputado,Capital fijo de maquinaria,0.025,Negativo,CI* (T/CI)*(1+(tcp/tcc)),Aumento stock respecto del stock de maquinaria,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Modelo; bloque V.2 | Cantidades fijas | Transable
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",exportadora,Exportadores,Consumo intermedio,Consumo intermedio,0.8200000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / consumo intermedio,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Exportadores
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",exportadora,Exportadores,Masa salarial,Masa salarial,0.133,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Transable / masa salarial manufacturera,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Exportadores
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",exportadora,Exportadores,Intereses,Intereses,0.08470000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Intereses pagados / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Exportadores
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",exportadora,Exportadores,VBP,VBP,0.42000000000000004,Positivo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Exportaciones / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Exportadores
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",exportadora,Exportadores,Consumo de capital fijo,Consumo de capital fijo,0.0077,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Efecto aumento consumo capital fijo maquinaria importada / consumo de capital fijo,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Exportadores
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",exportadora,Exportadores,Stock capital imputado,Capital fijo de maquinaria,0.0085,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Aumento stock respecto del stock de maquinaria,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Exportadores
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",mercado-interno,Mercado interno,Consumo intermedio,Consumo intermedio,0.764,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Importado / consumo intermedio,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Mercado interno
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",mercado-interno,Mercado interno,Masa salarial,Masa salarial,0.083,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Transable / masa salarial manufacturera,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Mercado interno
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",mercado-interno,Mercado interno,Intereses,Intereses,0.08470000000000001,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Intereses pagados / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Mercado interno
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",mercado-interno,Mercado interno,VBP,VBP,0.10700000000000001,Positivo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Exportaciones / VBP,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Mercado interno
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",mercado-interno,Mercado interno,Consumo de capital fijo,Consumo de capital fijo,0.0106,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Efecto aumento consumo capital fijo maquinaria importada / consumo de capital fijo,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Mercado interno
escenario_2_bienes_transables,Escenario 2 - Bienes Transables,"Incidencia de bienes transables: la apropiación de riqueza vía sobrevaluación alcanza mercancías cuyos precios internos se rigen por precios internacionales, aunque se produzcan localmente y se vendan en el mercado interno.",mercado-interno,Mercado interno,Stock capital imputado,Capital fijo de maquinaria,0.0181,Negativo,Variable en pesos +Variable en pesos* incidencia*((tcp/tcc)-1),Aumento stock respecto del stock de maquinaria,20260827-Uruguay. Modelo de impacto de devaluación-segmentos-dos-escenarios.xlsx; hoja Transable_Expo - MI; bloque Mercado interno
