anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,vab_pb_estimado,consumo_intermedio_estimado,capital_circulante_constante_adelantado,remuneraciones,capital_variable_adelantado,puestos_trabajo,n_empresas,fbcf,adquisiciones_importadas,consumo_capital_fijo,impuestos_netos,stock_capital,stock_capital_imputado,capital_total_adelantado,excedente_bruto,part_salarial,productividad
2008,H_J,4,Rev.4,91476063712.22075,,36179997584.96864,,36173751331.8894,55302312380.33135,,17013000481.574476,,51846.5635697458,,13636148745.270618,4179064620.969774,7730644838.960117,-1151801194.9276118,65044413404.64581,65044413404.64581,,19166997103.394165,0.47023221716970776,697828.266598577
2008,I,4,Rev.4,11300027030.532764,,4821487817.232343,,4819403292.310977,6480623738.221787,,2634263481.4472523,,18496.74992817709,,373654444.04474145,122131270.34994856,931999674.7244755,27390410.01135142,18028257256.579735,18028257256.579735,,2187224335.7850904,0.5463590454448948,260666.75691427887
2008,L_M_N,4,Rev.4,23468427698.736195,,9436891651.826918,,9436757947.395899,14031669751.340296,,6100613117.159366,,46616.445937928234,,777880193.4655463,37826464.67872253,446201137.8342115,46938395.22716819,4275162680.187546,4275162680.187546,,3336278534.667552,0.6464642535106704,202436.96107576578
2008,P,4,Rev.4,5865304758.143881,,4270908244.3107476,,4270908244.3107476,1594396513.8331332,,3566664247.1511264,,31795.13559791978,,246447048.8102828,16904145.00000002,216899777.81395024,2193644.802839375,4923818442.126952,4923818442.126952,,704243997.1596212,0.8351067368169895,134325.83833956585
2008,Q,4,Rev.4,35285335552.141045,,19717369003.045124,,19717369003.045124,15567966549.09592,,16994715654.668388,,69259.1383535502,,1612498764.514979,2657427.3146865014,702770962.9521402,-22014455.544239808,13739384595.28146,13739384595.28146,,2722653348.3767357,0.861915991532326,284689.78205291834
2008,R_S,4,Rev.4,5791343044.277779,,2714021939.7301593,,2714021939.7301593,3077321104.5476193,,1475484549.7380955,,8919.444444444447,,252867504.0793652,20187248.785714287,319930257.96825397,-2745182.3650793647,5380229455.031748,5380229455.031748,,1238537389.9920638,0.5436524031507258,304281.5005614628
2009,C,4,Rev.4,262347159926.77643,,78234883877.82039,,64741176279.65481,197605983647.1216,29940300552.594185,29743370612.992485,4506571304.998861,104036.64779083544,,7961085386.424266,2415847160.2104025,7803216717.64234,9175908840.983257,93192117548.19604,93192117548.19604,127638989405.7891,48491513264.8279,0.3801804149085564,751993.5093940241
2009,D_E,4,Rev.4,34162044497.8,,12299179975.8,,12299179975.8,21862864522.0,,6068798136.1,,12290.2,,4760493305.9,216686723.9999999,4863765968.0,114674521.8,92363394353.5,92363394353.5,,6230381839.699999,0.49343111882589197,1000730.6614863874
2009,G,4,Rev.4,78812299023.8035,,46924257067.79283,,42857278433.51728,35955020590.28622,,21123382960.93432,,99621.60726772869,,6918031617.393573,3054292540.719862,2464916912.164158,1303956626.6589787,29062370119.560966,29062370119.560966,,25800874106.858513,0.45015913476087127,471024.89464645914
2009,H_J,4,Rev.4,94219750468.94139,,44677051180.48324,,44669337963.59171,49550412505.34968,,20593240105.11923,,54292.735493914275,,13488357170.318829,3664146093.9299464,8877254981.233042,-2140244676.9304252,85729337195.52887,85729337195.52887,,24083811075.36401,0.46093552642783187,822891.8799917741
2009,I,4,Rev.4,12674114232.329699,,5436411405.30722,,5434061023.954673,7240053208.375026,,2965205187.346009,,17697.47114393285,,780365867.9798987,102402210.99999996,737296133.2061119,15094091.340586243,15824518238.219559,15824518238.219559,,2471206217.9612117,0.5454342885917848,307185.7759277072
2009,L_M_N,4,Rev.4,31888503540.244015,,14557699643.28025,,14557493385.857832,17331010154.386185,,9817803133.818142,,61772.26059778474,,1092830465.862845,135506809.22757807,606069186.2340653,-223909629.7313222,5636265167.868918,5636265167.868918,,4739896509.462109,0.6744062162561503,235667.26395313942
2009,P,4,Rev.4,7024062835.930464,,5473932707.726543,,5473932707.726543,1550130128.2039204,,4330630889.862952,,30152.827014852148,,396857073.3720381,3129009.662762624,191083057.80342904,-4797671.992533818,4420167255.398483,4420167255.398483,,1143301817.8635912,0.7911370345766577,181539.61832601269
2009,Q,4,Rev.4,39651080888.02129,,21927460428.530155,,21927460428.530155,17723620459.49114,,19081212214.05461,,74044.77105935742,,1722104161.7903728,11132202.468913218,757359356.4955981,-3846200.943515083,14648937124.258993,14648937124.258993,,2846248214.475544,0.8701970880872166,296137.86517014384
2009,R_S,4,Rev.4,11746279430.033699,,5121528140.795765,,5121528140.795765,6624751289.237934,,3385269866.458434,,23552.492350678687,,375209335.0574034,76243318.33142865,387237796.6218159,-11281477.410974983,5516886601.521176,5516886601.521176,,1736258274.3373308,0.6609882389384749,217451.64225255267
2010,C,4,Rev.4,298614685114.7447,,95564090931.25235,,79081496006.9132,219533189107.83148,33262604410.2775,34131850283.349632,5171492467.174187,112274.19392986668,,10581328732.31509,2632960238.7007856,8154845648.119941,12317165605.546686,99737810059.4515,99737810059.4515,138171906936.9032,61432240647.90272,0.35716187901482443,851167.0187625441
2010,D_E,4,Rev.4,38994624353.25,,26390029596.5,,26390029596.5,12604594756.75,,7026644454.0,,12607.25,,9171112853.0,908300.0,5678174155.5,56662309.0,109721059531.5,109721059531.5,,19363385142.5,0.26626133283806225,2093242.348370977
2010,G,4,Rev.4,114837662487.26848,,64321142010.21485,,58746355606.887955,56091306880.38052,,26747076212.073902,,112666.90862356791,,8076935906.251478,335093521.0642969,3268959735.655114,1813337271.242114,39049175307.96808,39049175307.96808,,37574065798.140945,0.41583646334864816,570896.484123112
2010,H_J,4,Rev.4,116055949020.83559,,52926000790.248505,,52916863443.16516,63139085577.670425,,24322396293.503326,,59920.01346643693,,15474182798.701178,6003664796.624387,10453299412.698706,-2347558987.9468718,112215574588.5222,112215574588.5222,,28603604496.74518,0.4595547732747771,883277.5182851721
2010,I,4,Rev.4,23403987317.61672,,7645859617.6687355,,7642554002.156999,15761433315.45972,,4544184703.8722515,,24412.39200548415,,2294878556.6562476,64677873.00000002,1352996595.5048409,49613909.429970585,35928437064.36558,35928437064.36558,,3101674913.796484,0.5943327410002589,313195.83988128335
2010,L_M_N,4,Rev.4,44407587120.34708,,20477575683.720596,,20477285551.89473,23930301568.452347,,15123683950.907442,,73624.33063324595,,1864415627.9980383,278602385.8496859,1134903747.6219468,69904849.2189583,8788434025.667976,8788434025.667976,,5353891732.813154,0.738548555966543,278135.9844984954
2010,P,4,Rev.4,9307663615.334665,,6744492273.282581,,6744492273.282581,2563171342.052084,,5107759058.784558,,31457.153758588982,,473420936.0844009,11199774.999999998,214367634.50361508,793234.6527709633,5610572006.285844,5610572006.285844,,1636733214.498023,0.7573229906450147,214402.4956943564
2010,Q,4,Rev.4,47873424479.83201,,28110573001.268063,,28110573001.268063,19762851478.563946,,23647226705.21879,,75954.1198662344,,12635303080.961313,9310425.135811733,1099777430.1723177,-50890166.004831046,31147915094.48458,31147915094.48458,,4463346296.049274,0.8412217959467445,370099.38434906007
2010,R_S,4,Rev.4,15929304299.50916,,6125496189.633252,,6125496189.633252,9803808109.875908,,4034922088.9629707,,19366.406019143615,,505220495.58496344,8978822.894404965,422952488.884392,-3827397.755874466,6897228128.288151,6897228128.288151,,2090574100.6702814,0.6587094276201894,316294.9379238576
2011,C,4,Rev.4,322720110758.9611,,97706590220.23463,,80854463732.71255,241865647026.24857,36646310155.49221,38240756792.58585,5794054059.482705,109399.62306503546,2202.0,,,8184811603.980017,18825379389.486565,,122150149877.43665,164590514092.41156,59465833427.64878,0.3913835976303096,893116.3333364541
2011,D_E,4,Rev.4,39578219783.44682,,19218415121.135048,,19218415121.135048,20359804662.311775,,7835641471.589714,,14529.585329355294,135.0,,,6114722578.955004,1458215336.4217672,,125774021529.86232,,11382773649.545334,0.4077152784036095,1322709.1266195006
2011,G,4,Rev.4,121044225323.41415,,73231630121.07744,,66884561596.89588,54159663726.51827,,31869388118.31083,,114837.61781419865,3512.0,,,3339584997.682785,3227271270.7215033,,36946814278.12977,,41362242002.76661,0.43518610831985594,637697.2242628931
2011,H_J,4,Rev.4,146332394935.41977,,65881979697.166534,,65870605580.36114,80461789355.05862,,35431447242.59189,,74688.4488608632,1327.0,,,10182639782.220459,-1203351137.156494,,130841310923.94287,,30450532454.574646,0.5378017996037198,882090.6137694438
2011,I,4,Rev.4,14288171055.973354,,5844789879.850204,,5842262939.904168,8445908116.069186,,3667389791.6128645,,20434.27804102221,817.0,,,613779219.0021968,111911882.91175868,,11831367017.481499,,2177400088.23734,0.6274630683056918,286028.69492705713
2011,L_M_N,4,Rev.4,45797082564.72165,,22095561547.084557,,22095248491.197758,23701834073.52389,,16480028160.395046,,74963.79411779309,1344.0,,,1204383245.9491444,-260728765.37237605,,13744329481.15512,,5615533386.68951,0.745852424944119,294749.7763035455
2011,P,4,Rev.4,9796213308.272427,,7387185362.685686,,7387185362.685686,2409027945.5867405,,6349584271.718777,,32998.5544077656,457.0,,,245951547.81174648,1601961.0667333526,,7250739095.690167,,1037601090.9669094,0.8595404013810101,223863.90844282706
2011,Q,4,Rev.4,52814828944.24569,,30273156006.663055,,30273156006.663055,22541672937.582634,,27717309591.74062,,79386.7887610837,740.0,,,979444005.5463967,97359386.39432596,,18849190917.34348,,2555846414.9224358,0.9155738366241069,381337.45525053027
2011,R_S,4,Rev.4,19127334833.87966,,8069809807.9713125,,8069809807.9713125,11057525025.908348,,5379043920.796282,,21219.079648061204,623.0,,,628193595.510156,199615894.5876866,,12617372678.922989,,2690765887.1750307,0.6665639028422817,380309.13412913523
2012,B,4,Rev.4,2070794043.6159916,,965726132.5271837,,965726132.5271837,1105067911.088808,,352142647.7593456,,1006.6790352892573,,300655513.7417543,25535653.61995502,134955357.55967233,3971492.2231335654,1967310741.584924,1967310741.584924,,613583484.767838,0.36464028040520413,959318.8083525487
2012,C,4,Rev.4,366495477250.2876,,99292174533.5738,,82166571432.60332,284328905817.68427,43080137245.103676,43787874689.42513,6634526468.094717,110138.7495335752,,17144628448.13904,5974186587.405126,9200641100.656364,16525006971.019114,118070224347.51068,118070224347.51068,167784888060.70908,55504299844.148674,0.44100025903470447,901518.9926711954
