fuente,archivo,pagina,tabla,tipo_indice,sector,anno,medida,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2024,indice,110.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2025,indice,115.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2020,variacion_anual,-2.6,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2021,variacion_anual,-1.2,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2022,variacion_anual,-1.8,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2023,variacion_anual,0.3,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2024,variacion_anual,3.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Papel y Prod. de papel,2025,variacion_anual,4.8,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2019,indice,127.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2020,indice,125.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2021,indice,124.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2022,indice,123.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2023,indice,124.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2024,indice,128.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2025,indice,133.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2020,variacion_anual,-1.8,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2021,variacion_anual,-0.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2022,variacion_anual,-0.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2023,variacion_anual,1.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2024,variacion_anual,3.2,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Prod. Quimicos,2025,variacion_anual,4.3,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2019,indice,153.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2020,indice,147.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2021,indice,146.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2022,indice,143.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2023,indice,140.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2024,indice,142.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2025,indice,148.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2020,variacion_anual,-3.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2021,variacion_anual,-0.6,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2022,variacion_anual,-2.5,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2023,variacion_anual,-2.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2024,variacion_anual,2.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,Minerales no metálicos,2025,variacion_anual,3.9,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2019,indice,143.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2020,indice,139.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2021,indice,137.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2022,indice,136.0,indice_1995_100
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,3,indices_salarios,reales,"Metálicos, maquinaria y equipos",2023,indice,137.0,indice_1995_100
