fuente,archivo,hoja,tabla,codigo_fuente,codigo_normalizado,nivel_codigo,seccion_ciiu_fuente,descripcion,anno,valor,unidad,dato_preliminar,nota_fuente
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011T.0,A.011T.0,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2018,31956910.1613153,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.011T.0,A.011T.0,grupo_bcu,A,Cultivos en general;servicios agrícolas aplicados a estos cultivos,2019,33721220.4833499,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2005,24677382.9498161,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2006,25829939.2717236,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2007,28674082.535753,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2008,30292699.9358704,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2009,24410033.5376843,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2010,30307874.3863939,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2011,40633579.86835,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2012,42739440.9712568,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2013,44459274.2771045,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2014,49740304.3947737,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2015,54086087.34313,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2016,52453334.7033592,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2017,54517873.4560624,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2018,62127727.136837,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012,A.012,grupo_bcu,A,Cría de animales; servicios ganaderos,2019,72431680.4754253,miles_de_pesos_corrientes,True,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2005,24677382.9498161,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2006,25829939.2717236,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2007,28674082.535753,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2008,30292699.9358704,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2009,24410033.5376843,miles_de_pesos_corrientes,False,
bcu,PIB-corriente-industrias-2006-2019.xlsx,Valores_C,pib_corriente_industrias,A.012T.0,A.012T.0,grupo_bcu,A,Cría de animales; servicios ganaderos,2010,30307874.3863939,miles_de_pesos_corrientes,False,
