fuente,archivo,pagina,tabla,variable,variable_etiqueta,anno,valor,unidad
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_puestos_de_trabajo_en_industria_formales,Total miles de puestos de trabajo en industria (formales****),2020,80.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_puestos_de_trabajo_en_industria_formales,Total miles de puestos de trabajo en industria (formales****),2021,84.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_puestos_de_trabajo_en_industria_formales,Total miles de puestos de trabajo en industria (formales****),2022,86.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_puestos_de_trabajo_en_industria_formales,Total miles de puestos de trabajo en industria (formales****),2023,85.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_puestos_de_trabajo_en_industria_formales,Total miles de puestos de trabajo en industria (formales****),2024,85.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,total_miles_de_puestos_de_trabajo_en_industria_formales,Total miles de puestos de trabajo en industria (formales****),2025,84.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_en_la_industria_mill_de_uspesos_por_ano_sin_ref_ni_zonas_francas,"Masa salarial en la industria (mill.de US$ por año, sin Ref. ni Zonas Francas)",2019,2130.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_en_la_industria_mill_de_uspesos_por_ano_sin_ref_ni_zonas_francas,"Masa salarial en la industria (mill.de US$ por año, sin Ref. ni Zonas Francas)",2020,1704.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_en_la_industria_mill_de_uspesos_por_ano_sin_ref_ni_zonas_francas,"Masa salarial en la industria (mill.de US$ por año, sin Ref. ni Zonas Francas)",2021,1727.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_en_la_industria_mill_de_uspesos_por_ano_sin_ref_ni_zonas_francas,"Masa salarial en la industria (mill.de US$ por año, sin Ref. ni Zonas Francas)",2022,2182.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_en_la_industria_mill_de_uspesos_por_ano_sin_ref_ni_zonas_francas,"Masa salarial en la industria (mill.de US$ por año, sin Ref. ni Zonas Francas)",2023,2428.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_en_la_industria_mill_de_uspesos_por_ano_sin_ref_ni_zonas_francas,"Masa salarial en la industria (mill.de US$ por año, sin Ref. ni Zonas Francas)",2024,2487.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_en_la_industria_mill_de_uspesos_por_ano_sin_ref_ni_zonas_francas,"Masa salarial en la industria (mill.de US$ por año, sin Ref. ni Zonas Francas)",2025,2477.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_de_empleo_formal_en_relacion_al_vab_industrial_sin_ref_ni_zonas_francas,Masa salarial de empleo formal en relación al VAB Industrial (sin Ref. ni Zonas Francas),2019,66.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_de_empleo_formal_en_relacion_al_vab_industrial_sin_ref_ni_zonas_francas,Masa salarial de empleo formal en relación al VAB Industrial (sin Ref. ni Zonas Francas),2020,58.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_de_empleo_formal_en_relacion_al_vab_industrial_sin_ref_ni_zonas_francas,Masa salarial de empleo formal en relación al VAB Industrial (sin Ref. ni Zonas Francas),2021,48.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_de_empleo_formal_en_relacion_al_vab_industrial_sin_ref_ni_zonas_francas,Masa salarial de empleo formal en relación al VAB Industrial (sin Ref. ni Zonas Francas),2022,55.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_de_empleo_formal_en_relacion_al_vab_industrial_sin_ref_ni_zonas_francas,Masa salarial de empleo formal en relación al VAB Industrial (sin Ref. ni Zonas Francas),2023,61.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_de_empleo_formal_en_relacion_al_vab_industrial_sin_ref_ni_zonas_francas,Masa salarial de empleo formal en relación al VAB Industrial (sin Ref. ni Zonas Francas),2024,60.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,masa_salarial_de_empleo_formal_en_relacion_al_vab_industrial_sin_ref_ni_zonas_francas,Masa salarial de empleo formal en relación al VAB Industrial (sin Ref. ni Zonas Francas),2025,58.0,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,personas_en_seguro_de_paro_sin_reliquidacion,Personas en seguro de paro (sin reliquidación),2019,45401.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,personas_en_seguro_de_paro_sin_reliquidacion,Personas en seguro de paro (sin reliquidación),2020,108252.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,personas_en_seguro_de_paro_sin_reliquidacion,Personas en seguro de paro (sin reliquidación),2021,66311.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,personas_en_seguro_de_paro_sin_reliquidacion,Personas en seguro de paro (sin reliquidación),2022,46028.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,personas_en_seguro_de_paro_sin_reliquidacion,Personas en seguro de paro (sin reliquidación),2023,42913.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,personas_en_seguro_de_paro_sin_reliquidacion,Personas en seguro de paro (sin reliquidación),2024,42013.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,personas_en_seguro_de_paro_sin_reliquidacion,Personas en seguro de paro (sin reliquidación),2025,42534.0,indice_o_nivel
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,variacion,Variación,2019,3.8,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,variacion,Variación,2020,138.4,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,variacion,Variación,2021,-38.7,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,variacion,Variación,2022,-30.6,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,variacion,Variación,2023,-6.8,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,variacion,Variación,2024,-2.1,porcentaje
ciu,4_Empleo-y-salarios-Indicadores-Oct-2025.pdf,2,empleo,variacion,Variación,2025,-1.3,porcentaje
