fuente,archivo,pagina,tabla,anno,trimestre,motivo,motivo_etiqueta,valor,unidad
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,aversion_riesgo_comercial,Aversión riesgo comercial,7.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,disp_personal_calificado,Disp. personal calificado,14.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,disp_personal_no_calificado,Disp. personal no calificado,4.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,financiamiento,Financiamiento,12.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,insuf_demanda_externa,Insuf. demanda externa,34.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,insuf_demanda_interna,Insuf. demanda interna,43.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,insuficiencia_oferta_de_materia_prima,Insuficiencia oferta de materia prima,21.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,limitaciones_capacidad,Limitaciones capacidad,7.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,no_es_mas_rentable,No es más rentable,12.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,oferta_energetica,Oferta Energética,1.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,otros,Otros,19.3,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,otros_laborales,Otros laborales,10.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,paros,Paros,9.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,problemas_logisticos,Problemas logísticos,0.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,razones_estacionales,Razones estacionales,25.3,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,restricc_medioambientales,Restricc. medioambientales,2.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2011,1,suficiente_inventario,Suficiente inventario,10.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,aversion_riesgo_comercial,Aversión riesgo comercial,4.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,disp_personal_calificado,Disp. personal calificado,20.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,disp_personal_no_calificado,Disp. personal no calificado,6.3,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,financiamiento,Financiamiento,11.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,insuf_demanda_externa,Insuf. demanda externa,35.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,insuf_demanda_interna,Insuf. demanda interna,41.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,insuficiencia_oferta_de_materia_prima,Insuficiencia oferta de materia prima,26.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,limitaciones_capacidad,Limitaciones capacidad,17.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,no_es_mas_rentable,No es más rentable,11.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,oferta_energetica,Oferta Energética,1.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,otros,Otros,14.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,otros_laborales,Otros laborales,16.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,paros,Paros,14.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,problemas_logisticos,Problemas logísticos,10.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,razones_estacionales,Razones estacionales,22.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,restricc_medioambientales,Restricc. medioambientales,5.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2018.pdf,4,motivos_producir_debajo_capacidad_plena,2012,1,suficiente_inventario,Suficiente inventario,14.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,aversion_riesgo_comercial,Aversión riesgo comercial,5.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,disp_personal_calificado,Disp. personal calificado,14.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,disp_personal_no_calificado,Disp. personal no calificado,11.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,financiamiento,Financiamiento,8.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,insuf_demanda_externa,Insuf. demanda externa,43.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,insuf_demanda_interna,Insuf. demanda interna,38.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,insuficiencia_oferta_de_materia_prima,Insuficiencia oferta de materia prima,23.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,limitaciones_capacidad,Limitaciones capacidad,14.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,no_es_mas_rentable,No es más rentable,11.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,oferta_energetica,Oferta energética,3.4,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,otros,Otros,12.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,otros_laborales,Otros laborales,17.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,paros,Paros,9.1,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,problemas_logisticos,Problemas logísticos,4.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,razones_estacionales,Razones estacionales,18.2,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,restricc_medioambientales,Restricc. medioambientales,0.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2013,1,suficiente_inventario,Suficiente inventario,15.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,aversion_riesgo_comercial,Aversión riesgo comercial,5.3,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,disp_personal_calificado,Disp. personal calificado,11.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,disp_personal_no_calificado,Disp. personal no calificado,6.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,financiamiento,Financiamiento,6.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,insuf_demanda_externa,Insuf. demanda externa,48.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,insuf_demanda_interna,Insuf. demanda interna,42.1,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,insuficiencia_oferta_de_materia_prima,Insuficiencia oferta de materia prima,19.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,limitaciones_capacidad,Limitaciones capacidad,11.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,no_es_mas_rentable,No es más rentable,10.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,oferta_energetica,Oferta energética,2.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,otros,Otros,21.1,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,otros_laborales,Otros laborales,11.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,paros,Paros,6.6,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,problemas_logisticos,Problemas logísticos,3.9,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,razones_estacionales,Razones estacionales,23.7,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,restricc_medioambientales,Restricc. medioambientales,0.0,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2014,1,suficiente_inventario,Suficiente inventario,15.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2015,1,aversion_riesgo_comercial,Aversión riesgo comercial,3.8,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2015,1,disp_personal_calificado,Disp. personal calificado,11.3,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2015,1,disp_personal_no_calificado,Disp. personal no calificado,6.3,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2015,1,financiamiento,Financiamiento,7.5,porcentaje_respuestas
ciu,utilizacion-de-la-capacidad-instalada-1o-trimestre-2021.pdf,4,motivos_producir_debajo_capacidad_plena,2015,1,insuf_demanda_externa,Insuf. demanda externa,45.0,porcentaje_respuestas
