fuente,archivo,pagina,tabla,grupo_costo,componente,componente_etiqueta,sector_codigo,sector,anno,valor,unidad
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,mano_de_obra_obreros_salarios_agui_sal_vac_otros,Mano de obra obreros: salarios + agui + sal vac + otros,36,Muebles y Otras Industrias,2005,8.3,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,15_16,"Alimentos, Bebidas y Tabaco",2005,0.5,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,17_18_19,"Textiles, Vestimenta y Cuero",2005,0.7,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,20,Madera y productos de madera,2005,1.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,21_22,Papel e imprenta,2005,0.9,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,23,Prod. derivados del petroleo,2005,0.1,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,24_25,"Prod. quimicos, caucho y plastico",2005,0.6,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,26_27,Minerales no metalicos y metalicas basicas,2005,0.9,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,28_29_30,"Metalicos, Maq. y Equipos",2005,1.9,porcentaje
ciu,8_Estructura-de-Costos-y-Ratios-Indicadores-Octubre-2025.pdf,4,estructura_costos_sectores_2005,costos_produccion,aportes_patronales_e_imp_a_los_sueldos_obreros,Aportes patronales e imp. a los sueldos obreros,31_32_33,Maq. y aparatos electricos,2005,2.1,porcentaje
