anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2007,D_E,3,Rev.3,29548256354.0,,17116101061.0,,5846200050.0,10867.0,3583664449.0,0.0,17116101061.0,4330014480.0,99307451996.0,11269901011.0,0.3415614355842345,1575053.0101223888
2007,G,3,Rev.3,73746745969.88954,,38265122979.45882,,13444886138.734596,79220.2596892227,4100430982.7395544,711805569.9419417,38265122979.45882,1809364854.9993513,19439330773.990833,24820236840.72422,0.3513613727558637,483021.9331465343
2007,H_J,3,Rev.3,79851161477.83301,,36125294192.03862,,12273618258.210033,41934.09278958589,11396300915.655525,1074880563.1153946,36125294192.03862,7641247089.147858,43224549717.05405,23851675933.828587,0.3397513717940856,861477.8999346838
2007,I,3,Rev.3,11163144742.666666,,4952789549.333334,,2179920722.5,15648.666666666666,195801676.73944443,59212612.379999995,4952789549.333334,892399391.3888888,19524073684.561665,2772868826.833334,0.4401399859183248,316499.1404592511
2007,L_M_N,3,Rev.3,13090542438.094612,,8247597508.931362,,5021743121.036703,37538.49583836387,848226002.603641,132105468.87809524,8247597508.931362,428301089.36936677,3988143147.355363,3225854387.894659,0.6088734465519969,219710.3886219762
2007,P,3,Rev.3,5443524134.524636,,4268874559.5070863,,3247046965.363165,31985.537407830263,279363983.34049875,11993854.766433567,4268874559.5070863,192538649.29207456,3798479287.085716,1021827594.1439214,0.76063302402076,133462.64923039995
2007,Q,3,Rev.3,33131743522.517807,,17261273111.738853,,13976350426.332382,66667.82887456642,1096182660.4003723,7091222.8100000005,17261273111.738853,722277802.1401227,14385347609.950039,3284922685.4064713,0.8096940669357408,258914.58298747716
2008,B,4,Rev.4,776329531.0,,354765811.59999996,,145858508.00000003,868.2,186931359.00000003,741150.0,23033390.2,7369482.999999999,334504590.8000001,208907303.59999993,0.41114025994268055,408622.22022575437
2008,C,4,Rev.4,284995693319.8842,,80292211343.23563,,24291156273.87418,103902.6858070401,17442926160.214355,3655133361.769164,8098413006.687781,7355810016.856363,107971212345.29555,56001055069.36145,0.3025344036177257,772763.5789160253
2008,D_E,4,Rev.4,28302771768.582287,,4729762478.959425,,5256625206.642546,11916.47631079172,3559653461.5461884,733621.0978714054,4599267583.989702,35414088.21821612,89149482414.69542,-526862727.6831207,1.111393062553753,396909.48528770107
2008,G,4,Rev.4,71883000731.10638,,43372822636.407524,,16738002803.490889,92823.46393313253,5221207956.505035,978448093.2121584,2207489307.9390783,1828532184.354359,24604614010.62047,26634819832.916634,0.38590992667931334,467261.4099776767
