anno,nivel_validacion,grupo_o_division,variable,test,estado,valor_observado,valor_referencia,diferencia,diferencia_pct,mensaje
2010,consistencia,21,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,3227765672.4842024,1864932607.9695277,1362833064.5146747,73.07679959537406,
2010,consistencia,21,puestos_trabajo,puestos_trabajo_positivo,ok,3557.5509017820978,0,3557.5509017820978,,
2010,consistencia,22,vab_pp,no_nulo_en_fila_aditiva,ok,2414019372.486005,no_nulo,,,
2010,consistencia,22,remuneraciones,no_nulo_en_fila_aditiva,ok,1334569172.346716,no_nulo,,,
2010,consistencia,22,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,9024309425.893496,2414019372.486005,6610290053.407491,273.8292048833097,
2010,consistencia,22,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,2414019372.486005,1334569172.346716,1079450200.139289,80.88379549792657,
2010,consistencia,22,puestos_trabajo,puestos_trabajo_positivo,ok,5018.184229965269,0,5018.184229965269,,
2010,consistencia,23,vab_pp,no_nulo_en_fila_aditiva,ok,1517823594.1744685,no_nulo,,,
2010,consistencia,23,remuneraciones,no_nulo_en_fila_aditiva,ok,757748506.2638655,no_nulo,,,
2010,consistencia,23,vbp_pp_vab_pp,vbp_pp_mayor_igual_vab_pp,ok,4275834204.741434,1517823594.1744685,2758010610.5669656,181.70824469671157,
2010,consistencia,23,vab_pp_remuneraciones,vab_pp_mayor_igual_remuneraciones,ok,1517823594.1744685,757748506.2638655,760075087.910603,100.30703876385174,
2010,consistencia,23,puestos_trabajo,puestos_trabajo_positivo,ok,2449.982165906236,0,2449.982165906236,,
2010,consistencia,24,vab_pp,no_nulo_en_fila_aditiva,ok,1753092235.7746994,no_nulo,,,
2010,consistencia,24,remuneraciones,no_nulo_en_fila_aditiva,ok,736034494.8484063,no_nulo,,,
