fuente,archivo,hoja,anno,variable,variable_etiqueta,valor,unidad,fuente_original
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1988,ipc_index_1983_1989,IPC,166.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1989,gdp_current,GDP,5469983.89375444,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1989,gdp_2005,GDP $Uy2005 (right axis),293421381.49557,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1989,gdp_price_index_base_2005,GDP Price index (base 2005),0.0186420766812354,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1989,ipc_index_1983_1989,IPC,300.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1990,gdp_current,GDP,11428343.8430264,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1990,gdp_2005,GDP $Uy2005 (right axis),296388574.217073,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1990,gdp_price_index_base_2005,GDP Price index (base 2005),0.0385586518414718,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1990,ipc_index_1983_1989,IPC,637.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1991,gdp_current,GDP,23930296.6998591,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1991,gdp_2005,GDP $Uy2005 (right axis),309061472.259154,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1991,gdp_price_index_base_2005,GDP Price index (base 2005),0.0774289222300509,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1991,ipc_index_1983_1989,IPC,1286.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1992,gdp_current,GDP,41521598.3841879,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1992,gdp_2005,GDP $Uy2005 (right axis),335949258.021759,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1992,gdp_price_index_base_2005,GDP Price index (base 2005),0.123594850688727,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1992,ipc_index_1983_1989,IPC,2167.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1993,gdp_current,GDP,63470538.885246,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1993,gdp_2005,GDP $Uy2005 (right axis),347332013.288545,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1993,gdp_price_index_base_2005,GDP Price index (base 2005),0.182737370748829,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1993,ipc_index_1983_1989,IPC,3339.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1994,gdp_current,GDP,95292261.4740708,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1994,gdp_2005,GDP $Uy2005 (right axis),375274679.339254,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1994,gdp_price_index_base_2005,GDP Price index (base 2005),0.253926701481304,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1994,ipc_index_1983_1989,IPC,4832.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1995,gdp_current,GDP,133405283.685574,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1995,gdp_2005,GDP $Uy2005 (right axis),372474649.864137,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1995,gdp_price_index_base_2005,GDP Price index (base 2005),0.358159363957343,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1995,ipc_index_1983_1989,IPC,6874.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1996,gdp_current,GDP,179342262.211812,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1996,gdp_2005,GDP $Uy2005 (right axis),396050190.2497,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1996,gdp_price_index_base_2005,GDP Price index (base 2005),0.452827107843935,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1996,ipc_index_1983_1989,IPC,8822.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1997,gdp_current,GDP,226318274.886129,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1997,gdp_2005,GDP $Uy2005 (right axis),419002951.912857,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1997,gdp_price_index_base_2005,GDP Price index (base 2005),0.540135275546216,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1997,ipc_index_1983_1989,IPC,10571.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1998,gdp_current,GDP,265838901.446081,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1998,gdp_2005,GDP $Uy2005 (right axis),437937234.791502,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1998,gdp_price_index_base_2005,GDP Price index (base 2005),0.607025117589384,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1998,ipc_index_1983_1989,IPC,11713.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1999,gdp_current,GDP,271961149.665395,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1999,gdp_2005,GDP $Uy2005 (right axis),429444702.701542,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1999,gdp_price_index_base_2005,GDP Price index (base 2005),0.633285608029503,Base 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,1999,ipc_index_1983_1989,IPC,12376.0,1983-1989=100,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,2000,gdp_current,GDP,276152265.914774,Thousand $Uy,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,2000,gdp_2005,GDP $Uy2005 (right axis),421156717.838442,Thousand $Uy 2005,Oyanthabal
oyanthabal,Índices de Precios.xlsx,IPI PBI e IPC,2000,gdp_price_index_base_2005,GDP Price index (base 2005),0.65569953943061,Base 2005,Oyanthabal
