anno,seccion,epoca,ciiu_version,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo,fbcf,adquisiciones_importadas,consumo_capital,impuestos_netos,stock_capital,excedente_bruto,part_salarial,productividad
2007,Q,3,Rev.3,33131743522.5178,,17261273111.7389,,13976350426.3324,66667.8288745664,1096182660.40037,7091222.81,17261273111.7389,722277802.140123,14385347609.95,3284922685.40647,0.809694066935741,258914.582987477
2008,B,4,Rev.4,776329531,,354765811.6,,145858508,868.2,186931359,741150,23033390.2,7369483,334504590.8,208907303.6,0.411140259942681,408622.220225754
2008,C,4,Rev.4,284995693319.884,,80292211343.2356,,24291156273.8742,103902.68580704,17442926160.2144,3655133361.76916,8098413006.68778,7355810016.85636,107971212345.296,56001055069.3615,0.302534403617726,772763.578916025
2008,D_E,4,Rev.4,28302771768.5823,,4729762478.95942,,5256625206.64255,11916.4763107917,3559653461.54619,733621.097871405,4599267583.9897,35414088.2182161,89149482414.6954,-526862727.683121,1.11139306255375,396909.485287701
2008,G,4,Rev.4,71883000731.1064,,43372822636.4075,,16738002803.4909,92823.4639331325,5221207956.50504,978448093.212158,2207489307.93908,1828532184.35436,24604614010.6205,26634819832.9166,0.385909926679313,467261.409977677
2008,H_J,4,Rev.4,91476063712.2207,,36179997584.9686,,17013000481.5745,51846.5635697458,13636148745.2706,4179064620.96977,7730644838.96012,-1151801194.92761,65044413404.6458,19166997103.3942,0.470232217169708,697828.266598577
2008,I,4,Rev.4,11300027030.5328,,4821487817.23234,,2634263481.44725,18496.7499281771,373654444.044741,122131270.349949,931999674.724476,27390410.0113514,18028257256.5797,2187224335.78509,0.546359045444895,260666.756914279
2008,L_M_N,4,Rev.4,23468427698.7362,,9436891651.82692,,6100613117.15937,46616.4459379282,777880193.465546,37826464.6787225,446201137.834212,46938395.2271682,4275162680.18755,3336278534.66755,0.64646425351067,202436.961075766
2008,P,4,Rev.4,5865304758.14388,,4270908244.31075,,3566664247.15113,31795.1355979198,246447048.810283,16904145,216899777.81395,2193644.80283938,4923818442.12695,704243997.159621,0.83510673681699,134325.838339566
2008,Q,4,Rev.4,35285335552.141,,19717369003.0451,,16994715654.6684,69259.1383535502,1612498764.51498,2657427.3146865,702770962.95214,-22014455.5442398,13739384595.2815,2722653348.37674,0.861915991532326,284689.782052918
