anno,seccion,seccion_fuente,ciiu_version,epoca,archivo_fuente,division_publicada,codigos_componentes,codigos_base_2dig,nivel_agregacion,usar_para_homologacion,descripcion_fuente,vbp_pp,vbp_pb,vab_pp,vab_pb,remuneraciones,puestos_trabajo
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2424,2424,24,clase_4_digitos,si,Fabricación de artículos de  limpieza y de tocador.,1708936883.0016665,,593335632.0500001,,258094202.79999995,1208.8516666666667
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2429,2429,24,clase_4_digitos,si,Fabricación productos químicos n.c.p.,894363136.0,,277014708.0,,116168871.0,342.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2511,2511,25,clase_4_digitos,si,Fabricación de cámaras y neumáticos. Recauchutaje.,692976915.75,,116383726.75,,75008745.75,538.25
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2519,2519,25,clase_4_digitos,si,Fabricación de productos de caucho natural o sintético en formas básicas .,197685166.5,,80482649.5,,65227734.5,691.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2520,2520,25,clase_4_digitos,si,Fabricación de productos de plástico.,7719777475.5,,1575632409.6666667,,691809492.1666666,3390.833333333333
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2610,2610,26,clase_4_digitos,si,Fabricación de vidrio y productos de vidrio.,517803669.4242424,,188615096.63636363,,101859764.24242423,685.7272727272727
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2691,2691,26,clase_4_digitos,si,"Fabricación de objetos de barro, loza y cerámica.",581083774.0,,235913321.0,,152004787.0,787.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2692,2692,26,clase_4_digitos,si,Fabricación de productos de arcilla y cerámica refractaria o no refractaria.,97871539.5,,29800400.25,,24668660.999999996,215.5
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2694,2694,26,clase_4_digitos,si,"Fabricación de cemento, cal y yeso.",2686184775.5,,1043079278.0,,323030782.5,693.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2695,2695,26,clase_4_digitos,si,"Fabricación de artículos de cemento, hormigón y yeso.",705377323.0,,171698270.0,,69802128.5,432.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2699,2699,26,clase_4_digitos,si,Fabricación de productos minerales no metálicos n.c.p.,292949929.0,,95175277.5,,30730520.0,213.5
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2700,2700,27,clase_4_digitos,si,"Industria básica de hierro, acero y metales no ferrosos.",6010057668.948717,,2457021073.5512815,,556205027.4786325,1800.0128205128206
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2811,2811,28,clase_4_digitos,si,Fabricación de productos metálicos estructurales (herrería de obra).,4017598330.25,,875420305.875,,351840476.0,1915.75
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2812,2812,28,clase_4_digitos,si,Fabricación de recipientes de metal.,133677827.0,,64123284.0,,40152321.0,265.5
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2890,2890,28,clase_4_digitos,si,Fabricación de otros productos de metal.,2204113103.0,,720399803.0,,308332803.8125,1594.125
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2910,2910,29,clase_4_digitos,si,Fabricación de maquinaria de uso general.,502267033.5,,262700597.0,,158337679.0,660.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2920,2920,29,clase_4_digitos,si,Fabricación de maquinaria de uso especial.,835115874.4000001,,314276917.4,,176068354.0,987.8
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,2930,2930,29,clase_4_digitos,si,Fabricación de electrodomésticos.,531612430.0,,266804401.0,,66404606.0,316.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3000,3000,30,clase_4_digitos,si,"Fabricación de maquinaria de oficina, contabilidad e informática.",129032070.0,,59323832.0,,34519343.0,141.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3100,3100,31,clase_4_digitos,si,Fabricación de maquinaria y aparatos eléctricos n.c.p.,2580080504.7499995,,832015972.4017856,,316179912.93749994,1828.6875
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3200,3200,32,clase_4_digitos,si,"Fabricación de equipos y aparatos de radio, televisión y comunicación.",33669000.0,,15418080.0,,4447440.0,35.0
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3300,3300,33,clase_4_digitos,si,"Fabricación de aparatos e instrumentos médicos, aparatos para medir, verificar, ensayar, navegar y otros fines.",960650145.0416666,,481811959.75,,265769542.625,1160.625
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3400,3400,34,clase_4_digitos,si,Fabricación de automotores y repuestos.,4228443686.75,,1017893630.5,,323943338.75,1593.5
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3510,3510,35,clase_4_digitos,si,Construcción y reparación de buques.,356385762.0,,201090001.5,,154228704.0,559.5
2007,C,D,Rev.3,3,Forzosas y aleatorias/EAE_C1_2007.xls,3530,3530,35,clase_4_digitos,si,Fabricación de aeronaves y naves espaciales.,7689369.0,,3541161.0,,2571731.0,21.0
