fuente,archivo,pagina,tabla,rama_codigo,rama_descripcion,anno,periodo,valor,unidad
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2019,anio,98.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2020,anio,103.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2021,anio,104.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2022,anio,102.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2023,anio,104.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2024,anio,111.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1030,Procesamiento y conservación de frutas y vegetales.,2025,ene_jul,98.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2014,anio,80.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2015,anio,91.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2016,anio,93.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2017,anio,112.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2019,anio,87.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2020,anio,88.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2021,anio,121.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2022,anio,157.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2023,anio,140.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2024,anio,138.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1040,Elaboración de aceites y grasas de origen vegetal y animal.,2025,ene_jul,142.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2014,anio,107.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2015,anio,103.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2016,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2017,anio,106.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2019,anio,94.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2020,anio,98.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2021,anio,102.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2022,anio,101.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2023,anio,103.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2024,anio,102.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,1050,Elaboración de productos lácteos.,2025,ene_jul,103.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2014,anio,106.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2015,anio,101.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2016,anio,107.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2017,anio,111.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2018,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2019,anio,99.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2020,anio,100.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2021,anio,95.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2022,anio,93.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2023,anio,92.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2024,anio,98.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106A,Elaboración de harina de trigo y otros productos de molinería de trigo y cereales (excepto arroz).,2025,ene_jul,96.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2014,anio,111.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2015,anio,94.0,indice_2018_100
ciu,6_Evolucion-Sectorial-Indicadores-Oct-2025.pdf,2-3,produccion_industrial_ivf_rama,106B,Elaboración de productos de molinería de arroz.,2016,anio,114.0,indice_2018_100
