fuente,archivo,pagina,tabla,anno,trimestre,variable,variable_etiqueta,valor,unidad
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,625.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,636.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,220.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,748.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,4,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,734.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2013,4,imeq_total_economia_sin_celulosa,Economía sin celulosa,689.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,1,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,203.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,1,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,733.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,1,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,726.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,1,imeq_total_economia_sin_celulosa,Economía sin celulosa,693.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,2,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,189.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,2,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,601.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,2,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,594.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,2,imeq_total_economia_sin_celulosa,Economía sin celulosa,618.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,3,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,363.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,3,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,671.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,3,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,665.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,3,imeq_total_economia_sin_celulosa,Economía sin celulosa,679.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,4,imeq_industria_sin_refineria_ni_zf,Industria sin refinería ni ZF,365.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,4,imeq_sector_privado_sin_celulosa,Sector privado sin celulosa,663.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,4,imeq_sector_privado_sin_zf_ni_celulosa,Sector privado sin ZF ni celulosa,653.0,indice_2002_100
ciu,Inversion-en-Maquinaria-y-Equipos-3o-trimestre-2020.pdf,8,imeq,2014,4,imeq_total_economia_sin_celulosa,Economía sin celulosa,647.0,indice_2002_100
